Navn; calories; proteins; carbs; fat; type;
typer: frugt og grønt=fg, fjerkræ, kød, fisk, snack, drikke, krydderi, nød, bær, korn, brød og mejeri=bm

Makaroni, spaghetti, fuldkorns-, rå;352;14.4;62.2;2.9;korn
Rugbrød, fuldkorn, importeret;200;6.1;36;1.7;bm
Pære, konserves;71;0.3;15.7;0.2;fg
Majroe, rå;26;0.6;3.8;0.1;fg
Bitter, sød, uspec.;265;0;18;0;drikke
Bønnespirer, adzuki, rå;135;10;18.8;1;fg
Hirse, hele korn;356;11.8;63.5;4.2;korn
Pop corn, mikroovn;505;9.6;52.2;26.8;snack
Musling, rå;83;11.9;0;2.2;fisk
Agurk, rå;12;0.7;1.6;0;fg
Cashewnød, olieristet;610;19.9;23.6;47.8;nød
Wienerbrød, smørkrans;469;4.7;41.3;31;bm
Nøddepasta med cacao, smørepålæg;525;7;54.5;30;snack
Cornflakes, uspec.;374;7.5;82;1.4;korn
Müsli, uspec.;405;10.1;56;11.1;korn
Honningmelon, rå;27;0.6;5.4;0.2;fg
Forloren skildpadde, uspec.;109;7.9;5.5;6.2;kød
Tomatjuice, konserves;19;0.8;3.3;0.1;drikke
Abrikos, konserves, let sukkerlage;68;0.5;14.9;0.1;fg
Agurk, syltet;14;0.3;2.1;0.2;fg
Appelsinjuice, konserves;42;0.6;8.4;0.1;drikke
Kødpølse, fedtreduceret, pålæg;105;10;8.3;3.4;kød
Druesaft;63;0.6;15;0.1;drikke
Krebs, rå;68;14.6;1.2;0.5;fisk
Majsstivelse;361;0.4;86.8;0.6;korn
Gulerod, konserves;23;0.6;4;0.2;fg
Kartoffelmos, pulver med tørmælk;333;10.9;62.5;1.1;fg
Rugbrød, lyst;205;5.8;40.2;1.2;bm
Bitter, jägermeister;294;0;14;0;drikke
Salt, bordsalt (jodberiget);0;0;0;0;krydderi
Forårsrulle, dybfrost;151;5.8;15.5;6.8;snack
Abrikos, konserves, uden tilsat sukker;27;0.7;5.3;0.2;fg
Græskar, konserves;103;0.4;24.7;0.1;fg
Ananas, konserves;64;0.4;3.7;0.3;fg
Løg, hakkede, dybfrost;28;0.8;5;0.1;fg
Flødeskumskage, lagkagesnitte;302;3.3;34.4;16.7;snack
Tvebakker;392;10.2;74.7;5.8;bm
Knækbrød, rug-, fint;345;11.7;56.4;2;bm
Sennep, gul, færdiglavet;165;5.7;20.2;6.4;krydderi
Fersken, konserves;71;0.5;2.2;0.2;fg
Likør, uspec.;269;0;29;0;drikke
Cornflakes, frosted;381;5.3;82.9;0.8;korn
Solsikkefrø, afskallede, tørrede;620;24.2;3.6;54.4;korn
Sauce, gravad laks;563;1.6;13.1;56;krydderi
Snacks, ekstruderet, majsbasis;537;9;52.3;32.1;snack
Havregryn, beriget;362;13.9;56.4;6.5;korn
Netmelon, rå;23;0.8;4.1;0.2;fg
Tomat, dansk, rå;20;0.7;3.2;0.3;fg
Mandarin, konserves;62;0.5;14;0.3;fg
Rødspætte, filet, paneret, dybfrost;136;11.9;19.1;1.1;fisk
Frugtsaft, blandet, sødet, koncentreret;174;0.2;43.4;0;drikke
Abrikos, tørret;248;3.5;43.3;1.7;fg
Sauce, barbeque;147;0;35.8;0.3;krydderi
Müsli med tilsat sukker.;370;12.9;60.9;6.3;korn
Müsli uden tilsat sukker.;370;12.9;60.9;6.3;korn
Bondebrød, industrifremstillet;225;6.9;44;1.3;bm
Lime, rå;37;0.7;7.7;0.2;fg
Paradisæble, råt;83;0.4;19.3;0.3;fg
Hyldebærsaft, sur, koncentreret;31;0.5;6;0.5;drikke
Fløde 13 % (UHT);147;2.7;3.7;13.3;bm
Frølår, dybfrost;69;16.4;0;0.3;kød
